Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,PercentSalaryHike,PerformanceRating,WorkLifeBalance,YearsAtCompany
32,No,Travel_Rarely,Sales,8,College,Technical Degree,436,High,Female,Medium,Junior,Sales Executive,Medium,5228,24624,11,Normal,Better,13
27,No,Travel_Rarely,Sales,2,Bachelor,Life Sciences,437,Very High,Male,High,Junior,Sales Executive,High,4478,5242,11,Normal,Better,5
31,No,Travel_Rarely,Sales,7,Bachelor,Marketing,438,Very High,Male,High,Junior,Sales Executive,Very High,7547,7143,12,Normal,Better,7
32,No,Travel_Rarely,Research & Development,2,Master,Medical,439,Low,Female,Very High,Junior,Research Scientist,Very High,5055,10557,16,Normal,Good,7
28,Yes,Travel_Rarely,Research & Development,2,Master,Medical,440,Low,Male,Low,Entry,Research Scientist,Very High,3464,24737,13,Normal,Good,3
30,No,Travel_Rarely,Research & Development,28,College,Medical,441,Very High,Female,High,Junior,Research Scientist,Very High,5775,11934,13,Normal,Better,10
31,No,Travel_Frequently,Research & Development,7,College,Life Sciences,442,High,Female,Medium,Mid,Manufacturing Director,High,8943,14034,24,Excellent,Better,10
39,No,Travel_Frequently,Research & Development,7,College,Medical,444,High,Male,Medium,Executive,Manager,Very High,19272,21141,15,Normal,Better,21
39,Yes,Travel_Rarely,Sales,3,College,Medical,445,Very High,Female,High,Junior,Sales Executive,High,5238,17778,18,Normal,Good,1
33,No,Travel_Frequently,Sales,10,Bachelor,Marketing,446,Medium,Male,Medium,Junior,Sales Executive,Very High,4682,4317,14,Normal,Good,7
47,No,Travel_Rarely,Research & Development,5,Doctor,Life Sciences,447,Very High,Male,High,Executive,Research Director,High,18300,16375,11,Normal,Better,3
43,No,Travel_Frequently,Research & Development,10,Master,Life Sciences,448,High,Female,Medium,Junior,Laboratory Technician,High,5257,6227,11,Normal,Best,9
27,No,Non-Travel,Sales,1,Below College,Marketing,449,High,Male,High,Junior,Sales Executive,Medium,6349,22107,13,Normal,Better,5
54,No,Travel_Frequently,Research & Development,20,Master,Life Sciences,450,Very High,Female,High,Junior,Research Scientist,High,4869,16885,12,Normal,Good,4
43,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,451,High,Female,High,Mid,Healthcare Representative,Low,9985,9262,16,Normal,Good,1
45,No,Travel_Rarely,Research & Development,8,Master,Other,452,Very High,Male,High,Junior,Research Scientist,Very High,3697,9278,14,Normal,Better,10
40,No,Travel_Rarely,Sales,1,College,Medical,453,Medium,Male,Low,Junior,Sales Executive,Very High,7457,13273,22,Excellent,Good,4
29,Yes,Travel_Rarely,Research & Development,8,Master,Other,454,Medium,Male,Low,Entry,Laboratory Technician,Low,2119,4759,11,Normal,Good,7
29,No,Travel_Rarely,Research & Development,9,Doctor,Other,455,Medium,Male,Medium,Entry,Laboratory Technician,Very High,3983,7621,17,Normal,Better,3
30,No,Travel_Rarely,Sales,5,Bachelor,Marketing,456,Very High,Female,Medium,Junior,Sales Executive,High,6118,5431,13,Normal,Better,10
27,No,Travel_Rarely,Sales,8,Master,Marketing,458,Medium,Female,High,Junior,Sales Executive,Medium,6214,3415,18,Normal,Better,8
37,No,Travel_Rarely,Research & Development,5,College,Medical,460,Very High,Male,High,Junior,Manufacturing Director,Very High,6347,23177,16,Normal,Good,6
38,No,Travel_Rarely,Research & Development,15,College,Life Sciences,461,High,Male,Medium,Mid,Research Director,Very High,11510,15682,14,Normal,Better,11
31,No,Travel_Rarely,Research & Development,7,Master,Medical,462,High,Female,High,Mid,Manufacturing Director,Very High,7143,25713,14,Normal,Good,11
29,No,Travel_Rarely,Sales,10,Below College,Marketing,463,Very High,Female,Medium,Junior,Sales Executive,Medium,8268,11866,14,Normal,Better,7
35,No,Travel_Rarely,Research & Development,5,Master,Technical Degree,464,High,Male,High,Mid,Manufacturing Director,Medium,8095,18264,13,Normal,Better,16
23,No,Travel_Rarely,Research & Development,26,Below College,Life Sciences,465,High,Male,High,Entry,Research Scientist,Very High,2904,16092,12,Normal,Good,4
41,No,Travel_Rarely,Research & Development,6,Bachelor,Medical,466,Very High,Male,Medium,Junior,Manufacturing Director,Medium,6032,10110,15,Normal,Better,5
47,No,Travel_Frequently,Sales,4,Below College,Medical,467,Medium,Male,High,Junior,Sales Representative,High,2976,25751,19,Normal,Better,0
42,No,Travel_Rarely,Research & Development,23,Doctor,Life Sciences,468,Low,Female,High,Senior,Research Director,Very High,15992,15901,14,Normal,Better,1
29,No,Non-Travel,Sales,2,Bachelor,Life Sciences,469,Very High,Male,High,Junior,Sales Executive,High,4649,16928,14,Normal,Good,4
42,No,Travel_Rarely,Human Resources,2,Below College,Technical Degree,470,High,Male,High,Entry,Human Resources,High,2696,24017,11,Normal,Better,3
32,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,471,High,Female,High,Entry,Laboratory Technician,Medium,2370,3956,13,Normal,Better,8
48,No,Travel_Rarely,Sales,29,Below College,Medical,473,Low,Female,High,Mid,Manager,High,12504,23978,21,Excellent,Bad,0
37,No,Travel_Rarely,Research & Development,6,Bachelor,Medical,474,High,Male,Very High,Junior,Research Scientist,Low,5974,17001,13,Normal,Better,7
30,No,Non-Travel,Sales,25,College,Technical Degree,475,Very High,Female,High,Junior,Sales Executive,High,4736,6069,12,Normal,Best,2
26,No,Travel_Rarely,Sales,1,Bachelor,Life Sciences,476,High,Male,High,Junior,Sales Executive,High,5296,20156,17,Normal,Better,8
42,No,Travel_Rarely,Research & Development,2,Master,Other,477,Low,Male,Medium,Junior,Healthcare Representative,Very High,6781,17078,23,Excellent,Better,1
21,Yes,Travel_Frequently,Sales,1,Below College,Technical Degree,478,Low,Female,Medium,Entry,Sales Representative,Medium,2174,9150,11,Normal,Better,3
36,No,Non-Travel,Sales,1,Doctor,Medical,479,Very High,Female,High,Junior,Sales Executive,Very High,6653,15276,15,Normal,Better,1
36,No,Travel_Frequently,Sales,3,Master,Medical,481,Low,Male,Medium,Mid,Sales Executive,Very High,9699,7246,11,Normal,Better,13
57,No,Travel_Rarely,Research & Development,1,Master,Medical,482,Very High,Male,High,Junior,Healthcare Representative,High,6755,2967,11,Normal,Better,3
40,No,Travel_Rarely,Research & Development,10,Master,Life Sciences,483,Very High,Female,Very High,Entry,Laboratory Technician,High,2213,22495,13,Normal,Better,7
21,No,Non-Travel,Sales,9,College,Medical,484,Low,Male,High,Entry,Sales Representative,Very High,2610,2851,24,Excellent,Good,3
33,Yes,Travel_Rarely,Sales,5,Bachelor,Marketing,485,Very High,Female,High,Entry,Sales Representative,High,2851,9150,13,Normal,Better,1
37,No,Travel_Rarely,Research & Development,10,Bachelor,Medical,486,High,Female,High,Entry,Laboratory Technician,Low,3452,17663,20,Excellent,Better,5
46,No,Non-Travel,Research & Development,7,Master,Medical,487,High,Female,High,Junior,Manufacturing Director,High,5258,16044,14,Normal,Best,1
41,Yes,Travel_Frequently,Sales,4,Bachelor,Marketing,488,Low,Male,High,Junior,Sales Executive,Medium,9355,9558,18,Normal,Better,8
50,No,Travel_Rarely,Research & Development,10,Bachelor,Technical Degree,491,Very High,Male,Medium,Mid,Healthcare Representative,Very High,10496,2755,15,Normal,Better,4
40,Yes,Travel_Rarely,Sales,22,College,Marketing,492,High,Male,Medium,Junior,Sales Executive,High,6380,6110,12,Normal,Better,6
31,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,493,High,Male,Medium,Entry,Research Scientist,Medium,2657,7551,16,Normal,Better,2
21,Yes,Travel_Rarely,Sales,12,Bachelor,Life Sciences,494,High,Female,Very High,Entry,Sales Representative,Medium,2716,25422,15,Normal,Better,1
29,No,Travel_Rarely,Research & Development,23,Bachelor,Life Sciences,495,Very High,Male,High,Entry,Research Scientist,Very High,2201,18168,16,Normal,Better,3
35,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,496,High,Male,Medium,Junior,Healthcare Representative,Medium,6540,19394,19,Normal,Better,1
27,No,Travel_Rarely,Research & Development,1,College,Medical,497,Very High,Male,High,Entry,Laboratory Technician,Medium,3816,17881,11,Normal,Better,5
28,No,Travel_Rarely,Sales,9,Master,Life Sciences,498,Medium,Male,High,Junior,Sales Executive,Very High,5253,20750,16,Normal,Better,7
49,No,Travel_Rarely,Research & Development,7,Bachelor,Other,499,Medium,Male,Medium,Mid,Healthcare Representative,High,10965,12066,24,Excellent,Better,5
51,No,Travel_Rarely,Sales,14,College,Life Sciences,500,High,Female,High,Junior,Sales Executive,Very High,4936,14862,11,Normal,Good,7
36,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,501,Very High,Female,High,Entry,Research Scientist,High,2543,11868,13,Normal,Better,2
34,Yes,Non-Travel,Sales,19,Bachelor,Marketing,502,Low,Male,Very High,Junior,Sales Executive,Very High,5304,4652,13,Normal,Good,5
55,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,505,High,Female,High,Senior,Manager,Very High,16659,23258,13,Normal,Better,5
24,No,Travel_Rarely,Sales,10,Master,Marketing,507,Very High,Female,High,Junior,Sales Executive,High,4260,5915,12,Normal,Best,5
30,No,Travel_Rarely,Sales,2,Below College,Technical Degree,508,High,Male,High,Entry,Sales Representative,Medium,2476,17434,18,Normal,Better,1
26,Yes,Travel_Frequently,Research & Development,3,Below College,Technical Degree,510,High,Male,High,Entry,Research Scientist,Low,3102,6582,22,Excellent,Better,6
22,No,Travel_Rarely,Research & Development,11,Bachelor,Medical,511,Low,Female,High,Entry,Research Scientist,Medium,2244,24440,13,Normal,Better,2
36,No,Travel_Rarely,Sales,2,College,Medical,513,Medium,Male,Medium,Mid,Sales Executive,High,7596,3809,13,Normal,Better,10
30,Yes,Travel_Frequently,Research & Development,4,Bachelor,Technical Degree,514,High,Male,High,Entry,Research Scientist,Very High,2285,3427,23,Excellent,Better,1
37,No,Travel_Rarely,Research & Development,14,Bachelor,Life Sciences,515,Very High,Female,High,Entry,Laboratory Technician,Low,3034,26914,12,Normal,Good,18
40,No,Travel_Rarely,Sales,2,College,Marketing,516,Very High,Female,High,Junior,Sales Executive,Medium,5715,22553,12,Normal,Better,5
42,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,517,Medium,Female,High,Entry,Laboratory Technician,Low,2576,20490,16,Normal,Better,5
37,No,Travel_Rarely,Research & Development,10,Master,Life Sciences,518,High,Male,High,Junior,Manufacturing Director,Medium,4197,21123,12,Normal,Good,1
43,No,Travel_Rarely,Research & Development,12,Bachelor,Life Sciences,520,Low,Male,Medium,Senior,Research Director,Medium,14336,4345,11,Normal,Better,25
40,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,521,Medium,Female,Medium,Junior,Laboratory Technician,High,3448,13436,22,Excellent,Better,1
54,No,Travel_Rarely,Research & Development,5,College,Medical,522,Low,Male,High,Executive,Research Director,Low,19406,8509,11,Normal,Good,4
34,No,Non-Travel,Sales,4,Master,Marketing,523,High,Female,High,Junior,Sales Executive,High,6538,12740,15,Normal,Better,3
31,No,Travel_Rarely,Research & Development,7,College,Medical,524,Medium,Female,High,Junior,Manufacturing Director,Low,4306,4156,12,Normal,Bad,13
43,No,Travel_Frequently,Research & Development,21,Bachelor,Medical,525,Very High,Male,High,Entry,Laboratory Technician,Very High,2258,15238,20,Excellent,Better,3
43,No,Travel_Rarely,Research & Development,8,Master,Other,526,High,Female,High,Junior,Healthcare Representative,High,4522,2227,14,Normal,Better,5
25,No,Travel_Rarely,Sales,4,College,Life Sciences,527,Medium,Female,Medium,Junior,Sales Executive,Very High,4487,12090,11,Normal,Better,5
37,No,Non-Travel,Research & Development,25,Doctor,Medical,529,Medium,Female,High,Junior,Research Scientist,High,4449,23866,15,Normal,Better,13
31,No,Travel_Rarely,Research & Development,1,College,Life Sciences,530,Very High,Male,Medium,Entry,Laboratory Technician,Low,2218,16193,12,Normal,Better,4
39,No,Travel_Frequently,Research & Development,1,Below College,Life Sciences,531,Medium,Male,High,Executive,Manager,High,19197,8213,14,Normal,Better,21
56,No,Travel_Frequently,Sales,6,Bachelor,Life Sciences,532,High,Female,Very High,Senior,Sales Executive,Low,13212,18256,11,Normal,Good,7
30,No,Travel_Rarely,Sales,12,Bachelor,Technical Degree,533,Medium,Female,High,Junior,Sales Executive,High,6577,19558,11,Normal,Better,5
41,No,Travel_Rarely,Sales,1,Bachelor,Marketing,534,Medium,Male,Very High,Mid,Sales Executive,Low,8392,19566,16,Normal,Better,10
28,No,Travel_Rarely,Research & Development,17,College,Medical,536,High,Male,High,Junior,Laboratory Technician,Low,4558,13535,12,Normal,Better,10
25,Yes,Travel_Rarely,Research & Development,3,Bachelor,Medical,538,Low,Male,High,Entry,Laboratory Technician,Low,4031,9396,13,Normal,Better,2
52,No,Travel_Rarely,Research & Development,3,Bachelor,Medical,543,Very High,Male,Medium,Mid,Manufacturing Director,High,7969,19609,14,Normal,Better,5
45,No,Travel_Rarely,Research & Development,10,College,Life Sciences,544,Low,Male,High,Entry,Research Scientist,Very High,2654,9655,21,Excellent,Good,2
52,No,Travel_Rarely,Research & Development,4,College,Life Sciences,546,Very High,Female,High,Senior,Manager,Very High,16555,10310,13,Normal,Bad,5
42,No,Travel_Frequently,Research & Development,29,College,Life Sciences,547,Low,Female,High,Junior,Research Scientist,High,4556,12932,11,Normal,Better,5
30,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,548,High,Female,Low,Junior,Manufacturing Director,Very High,6091,24793,20,Excellent,Better,5
60,No,Travel_Rarely,Research & Development,7,Bachelor,Life Sciences,549,Low,Female,High,Executive,Manager,Low,19566,3854,11,Normal,Bad,29
46,No,Travel_Rarely,Research & Development,18,Bachelor,Medical,550,High,Female,High,Junior,Manufacturing Director,High,4810,26314,14,Normal,Good,10
42,No,Travel_Frequently,Research & Development,28,Master,Technical Degree,551,Very High,Female,Medium,Junior,Healthcare Representative,Very High,4523,4386,11,Normal,Best,6
24,Yes,Travel_Rarely,Sales,1,Below College,Technical Degree,554,Low,Female,High,Entry,Sales Representative,Medium,3202,21972,16,Normal,Better,5
34,Yes,Travel_Frequently,Sales,6,College,Marketing,555,Very High,Female,Low,Entry,Sales Representative,High,2351,12253,16,Normal,Good,2
38,No,Travel_Frequently,Research & Development,2,College,Life Sciences,556,Very High,Male,High,Entry,Laboratory Technician,Very High,1702,12106,23,Excellent,Better,1
40,No,Travel_Rarely,Sales,2,Master,Life Sciences,558,High,Female,High,Executive,Manager,High,18041,13022,14,Normal,Better,20
26,No,Travel_Rarely,Research & Development,23,Bachelor,Life Sciences,560,Low,Female,High,Entry,Research Scientist,Very High,2886,3032,22,Excellent,Bad,3
30,No,Non-Travel,Research & Development,3,Bachelor,Life Sciences,562,High,Male,High,Entry,Laboratory Technician,Very High,2097,16734,15,Normal,Bad,5
29,No,Travel_Rarely,Research & Development,3,Master,Medical,564,Medium,Male,Medium,Mid,Research Director,High,11935,21526,18,Normal,Better,10
29,Yes,Travel_Rarely,Research & Development,25,Doctor,Technical Degree,565,High,Female,Medium,Entry,Research Scientist,Medium,2546,18300,16,Normal,Best,2
19,Yes,Travel_Rarely,Human Resources,2,College,Technical Degree,566,Low,Male,Medium,Entry,Human Resources,Very High,2564,18437,12,Normal,Best,1
30,No,Non-Travel,Sales,22,Master,Other,567,High,Female,High,Mid,Sales Executive,Low,8412,2890,11,Normal,Better,9
57,No,Travel_Rarely,Sales,29,Bachelor,Marketing,568,Low,Male,Medium,Senior,Manager,Very High,14118,22102,12,Normal,Good,1
50,No,Travel_Rarely,Research & Development,29,Master,Life Sciences,569,Medium,Male,Medium,Senior,Manager,High,17046,9314,15,Normal,Better,27
30,No,Non-Travel,Research & Development,2,Bachelor,Medical,571,High,Female,High,Entry,Laboratory Technician,Very High,2564,7181,14,Normal,Good,11
60,No,Travel_Frequently,Sales,28,Bachelor,Marketing,573,High,Female,Medium,Mid,Sales Executive,Low,10266,2845,19,Normal,Best,18
47,No,Travel_Rarely,Research & Development,2,College,Medical,574,Low,Female,High,Junior,Manufacturing Director,Very High,5070,7389,13,Normal,Better,5
46,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,575,Low,Male,High,Senior,Research Director,High,17861,2288,13,Normal,Bad,3
35,No,Travel_Rarely,Research & Development,22,Bachelor,Life Sciences,577,Very High,Male,Low,Entry,Laboratory Technician,High,4230,19225,15,Normal,Better,5
54,No,Travel_Rarely,Research & Development,8,Master,Life Sciences,578,High,Female,High,Junior,Laboratory Technician,High,3780,23428,11,Normal,Better,1
34,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,579,Very High,Male,Medium,Entry,Research Scientist,High,2768,8416,12,Normal,Better,7
46,No,Travel_Rarely,Sales,10,Bachelor,Marketing,580,High,Female,Medium,Mid,Sales Executive,Very High,9071,11563,19,Normal,Better,3
31,No,Travel_Rarely,Research & Development,9,Below College,Life Sciences,581,High,Male,High,Mid,Manufacturing Director,Medium,10648,14394,25,Excellent,Best,13
33,Yes,Travel_Rarely,Research & Development,15,Below College,Medical,582,Medium,Male,High,Mid,Manager,High,13610,24619,12,Normal,Best,7
33,Yes,Travel_Rarely,Research & Development,10,Below College,Medical,584,Low,Male,Low,Entry,Laboratory Technician,Very High,3408,6705,13,Normal,Better,4
30,No,Travel_Rarely,Sales,7,Below College,Marketing,585,Very High,Male,High,Entry,Sales Representative,Medium,2983,18398,14,Normal,Better,3
35,No,Travel_Rarely,Research & Development,16,Bachelor,Life Sciences,586,Very High,Male,High,Mid,Healthcare Representative,High,7632,14295,12,Normal,Better,8
31,Yes,Travel_Frequently,Research & Development,20,Bachelor,Life Sciences,587,Low,Male,High,Mid,Healthcare Representative,High,9824,22908,12,Normal,Better,1
34,Yes,Travel_Frequently,Human Resources,23,Bachelor,Human Resources,590,Medium,Female,High,Mid,Human Resources,Low,9950,11533,15,Normal,Better,3
42,No,Travel_Frequently,Research & Development,5,College,Other,591,Medium,Male,High,Entry,Laboratory Technician,High,2093,9260,17,Normal,Better,2
36,No,Non-Travel,Sales,10,Master,Medical,592,Medium,Male,High,Mid,Sales Executive,Very High,9980,15318,14,Normal,Good,10
22,Yes,Travel_Frequently,Research & Development,4,Below College,Technical Degree,593,High,Male,Medium,Entry,Laboratory Technician,High,3894,9129,16,Normal,Better,2
48,No,Travel_Rarely,Sales,2,Doctor,Marketing,595,Medium,Female,High,Junior,Sales Executive,Very High,4051,19658,14,Normal,Better,9
55,No,Travel_Rarely,Sales,18,Doctor,Life Sciences,597,Low,Female,High,Senior,Manager,Medium,16835,9873,23,Excellent,Better,10
41,No,Non-Travel,Sales,10,College,Life Sciences,599,Very High,Male,High,Junior,Sales Executive,Very High,6230,13430,14,Normal,Better,14
35,No,Travel_Rarely,Sales,1,Bachelor,Marketing,600,Medium,Male,High,Junior,Sales Executive,High,4717,18659,11,Normal,Better,11
40,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,601,Medium,Female,High,Senior,Manufacturing Director,High,13237,20364,15,Normal,Better,20
39,No,Travel_Frequently,Research & Development,8,Below College,Life Sciences,602,High,Female,High,Entry,Laboratory Technician,High,3755,17872,11,Normal,Better,8
31,No,Travel_Rarely,Sales,2,Below College,Life Sciences,604,Medium,Male,High,Junior,Sales Executive,Very High,6582,8346,13,Normal,Best,6
42,No,Travel_Rarely,Research & Development,24,Bachelor,Medical,605,Very High,Male,High,Mid,Manufacturing Director,Low,7406,6950,21,Excellent,Good,10
45,No,Travel_Rarely,Sales,2,Bachelor,Other,606,Very High,Male,High,Junior,Sales Executive,Medium,4805,16177,19,Normal,Best,8
26,Yes,Travel_Frequently,Human Resources,17,Master,Life Sciences,608,Medium,Female,High,Entry,Human Resources,High,2741,22808,11,Normal,Good,7
29,No,Travel_Rarely,Research & Development,19,Bachelor,Technical Degree,611,Very High,Male,High,Junior,Manufacturing Director,Very High,4262,22645,12,Normal,Best,3
33,No,Travel_Rarely,Research & Development,1,Doctor,Medical,612,Low,Female,Very High,Senior,Research Director,High,16184,22578,19,Normal,Better,6
31,No,Travel_Rarely,Sales,7,Bachelor,Life Sciences,613,High,Male,Medium,Mid,Manager,Very High,11557,25291,21,Excellent,Good,5
18,Yes,Travel_Frequently,Sales,5,Bachelor,Marketing,614,Medium,Male,High,Entry,Sales Representative,Medium,1878,8059,14,Normal,Better,0
40,No,Non-Travel,Sales,28,Bachelor,Other,615,High,Male,Low,Mid,Sales Executive,Low,10932,11373,15,Normal,Better,1
41,No,Non-Travel,Research & Development,2,Master,Other,616,Low,Female,Medium,Junior,Healthcare Representative,High,6811,2112,17,Normal,Better,8
26,No,Travel_Rarely,Sales,29,College,Medical,618,Low,Male,High,Junior,Sales Executive,High,4306,4267,12,Normal,Better,0
35,No,Travel_Rarely,Sales,1,Bachelor,Medical,620,Low,Female,High,Junior,Sales Executive,High,4859,6698,16,Normal,Better,5
34,No,Travel_Rarely,Sales,21,Master,Life Sciences,621,Very High,Male,Very High,Junior,Sales Executive,Very High,5337,19921,12,Normal,Better,10
26,Yes,Travel_Rarely,Research & Development,24,Bachelor,Technical Degree,622,High,Male,Low,Entry,Laboratory Technician,Very High,2340,23213,18,Normal,Bad,1
37,No,Travel_Rarely,Research & Development,1,Bachelor,Technical Degree,623,Medium,Female,High,Mid,Manufacturing Director,Very High,7491,23848,17,Normal,Best,6
46,No,Travel_Frequently,Research & Development,18,Below College,Medical,624,Low,Female,High,Mid,Healthcare Representative,High,10527,8984,11,Normal,Good,2
41,No,Travel_Rarely,Sales,2,Doctor,Life Sciences,625,Medium,Female,High,Senior,Manager,Low,16595,5626,16,Normal,Better,18
37,No,Non-Travel,Sales,9,Master,Medical,626,Low,Male,High,Mid,Sales Executive,Medium,8834,24666,13,Normal,Better,9
52,No,Travel_Rarely,Research & Development,6,College,Technical Degree,630,Very High,Male,High,Junior,Research Scientist,Low,5577,22087,12,Normal,Better,10
32,Yes,Non-Travel,Sales,11,Master,Other,631,Very High,Male,Very High,Junior,Sales Executive,High,4707,23914,12,Normal,Better,4
24,No,Travel_Frequently,Sales,24,Bachelor,Medical,632,Very High,Male,High,Entry,Sales Representative,Very High,2400,5530,13,Normal,Better,2
38,No,Travel_Rarely,Research & Development,10,Bachelor,Medical,634,High,Female,High,Junior,Healthcare Representative,High,9824,22174,19,Normal,Better,1
37,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,635,Medium,Female,High,Junior,Manufacturing Director,Medium,6447,15701,12,Normal,Good,6
49,No,Travel_Rarely,Research & Development,18,Master,Life Sciences,638,Very High,Male,Medium,Executive,Research Director,High,19502,2125,17,Normal,Better,31
24,No,Travel_Rarely,Research & Development,23,Bachelor,Medical,639,Medium,Male,Very High,Entry,Research Scientist,Very High,2725,21630,11,Normal,Better,6
26,No,Travel_Rarely,Sales,28,College,Marketing,641,Low,Male,High,Junior,Sales Executive,Medium,6272,7428,20,Excellent,Best,5
24,No,Travel_Rarely,Research & Development,17,College,Other,643,Very High,Male,Medium,Entry,Laboratory Technician,Medium,2127,9100,21,Excellent,Better,1
50,No,Travel_Frequently,Human Resources,3,Bachelor,Medical,644,Low,Male,High,Executive,Manager,Medium,18200,7999,11,Normal,Better,32
25,No,Travel_Rarely,Sales,13,Below College,Medical,645,Medium,Male,High,Entry,Sales Representative,High,2096,26376,11,Normal,Better,7
24,Yes,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,647,Low,Female,High,Entry,Laboratory Technician,High,2886,14168,16,Normal,Better,6
30,Yes,Travel_Frequently,Sales,12,Master,Life Sciences,648,Medium,Male,Medium,Entry,Sales Representative,Low,2033,14470,18,Normal,Best,1
34,No,Travel_Rarely,Research & Development,1,College,Life Sciences,649,Medium,Male,Medium,Entry,Research Scientist,Very High,3622,22794,13,Normal,Better,6
31,Yes,Travel_Rarely,Sales,13,Master,Medical,650,Medium,Male,High,Junior,Sales Executive,Low,4233,11512,17,Normal,Bad,3
35,No,Travel_Rarely,Research & Development,25,College,Other,652,Low,Male,Medium,Junior,Laboratory Technician,Very High,3681,14004,14,Normal,Better,3
31,No,Travel_Rarely,Sales,6,Master,Medical,653,Low,Male,Very High,Junior,Sales Executive,Very High,5460,6219,22,Excellent,Best,7
27,No,Travel_Rarely,Research & Development,6,Master,Medical,655,Low,Female,Medium,Entry,Research Scientist,High,2187,5013,12,Normal,Good,5
37,No,Travel_Rarely,Sales,2,Bachelor,Marketing,656,Very High,Male,High,Junior,Sales Executive,High,9602,3010,11,Normal,Good,3
20,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,657,Very High,Female,Medium,Entry,Research Scientist,Medium,2836,11757,13,Normal,Best,1
42,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,659,High,Female,High,Junior,Healthcare Representative,Very High,4089,5718,13,Normal,Better,10
43,No,Travel_Rarely,Research & Development,6,Master,Other,661,Medium,Male,Medium,Senior,Research Director,Very High,16627,2671,14,Normal,Good,1
38,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,662,High,Female,High,Entry,Research Scientist,Low,2619,14561,17,Normal,Good,0
43,No,Travel_Frequently,Research & Development,9,Doctor,Medical,663,Very High,Male,High,Junior,Laboratory Technician,High,5679,19627,13,Normal,Better,8
48,No,Travel_Rarely,Research & Development,1,Master,Life Sciences,664,Very High,Female,Medium,Senior,Manager,Low,15402,17997,11,Normal,Bad,3
44,No,Travel_Rarely,Human Resources,1,Master,Life Sciences,665,Low,Female,Medium,Junior,Human Resources,High,5985,26894,11,Normal,Best,2
34,No,Travel_Rarely,Sales,14,Bachelor,Technical Degree,666,High,Female,High,Entry,Sales Representative,High,2579,2912,18,Normal,Better,8
27,Yes,Travel_Rarely,Sales,2,Below College,Marketing,667,High,Male,High,Entry,Sales Representative,Low,3041,16346,11,Normal,Better,4
21,No,Travel_Rarely,Sales,22,Below College,Technical Degree,669,High,Male,High,Entry,Sales Representative,High,3447,24444,11,Normal,Better,3
44,No,Travel_Rarely,Research & Development,3,Master,Other,671,Very High,Male,High,Executive,Manager,Very High,19513,9358,12,Normal,Best,2
22,No,Travel_Rarely,Research & Development,6,Below College,Medical,675,Low,Male,High,Entry,Research Scientist,High,2773,12145,20,Excellent,Better,2
33,No,Travel_Rarely,Sales,8,Master,Marketing,677,High,Male,High,Junior,Sales Executive,High,7104,20431,12,Normal,Better,5
32,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,679,Low,Female,High,Junior,Research Scientist,Very High,6322,18089,12,Normal,Good,6
30,No,Travel_Frequently,Research & Development,3,Bachelor,Medical,680,High,Female,High,Entry,Research Scientist,High,2083,22653,20,Excellent,Better,1
53,No,Travel_Rarely,Sales,1,Below College,Medical,682,Very High,Female,High,Junior,Sales Executive,Low,8381,7507,20,Excellent,Best,14
34,No,Travel_Rarely,Research & Development,1,Doctor,Life Sciences,683,Medium,Male,High,Entry,Research Scientist,Very High,2691,7660,12,Normal,Good,10
45,Yes,Travel_Frequently,Sales,26,Master,Life Sciences,684,Low,Female,High,Junior,Sales Executive,Low,4286,5630,14,Normal,Better,1
26,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,686,High,Female,High,Entry,Laboratory Technician,Very High,2659,17759,13,Normal,Better,3
37,No,Travel_Rarely,Research & Development,3,Bachelor,Other,689,High,Male,High,Mid,Manufacturing Director,High,9434,9606,15,Normal,Better,10
29,No,Travel_Rarely,Sales,3,College,Medical,690,Medium,Female,High,Junior,Sales Executive,High,5561,3487,14,Normal,Good,6
35,No,Travel_Rarely,Research & Development,6,Master,Life Sciences,691,Medium,Male,Low,Junior,Research Scientist,Very High,6646,19368,13,Normal,Better,17
33,No,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,692,High,Male,High,Junior,Healthcare Representative,Very High,7725,5335,23,Excellent,Bad,13
